trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
136.T6.11-MRe-2-y08-1.77.H,5:01:44,5:01:44,14102,2,,0,0,808.8868895
136.T6.11-MRe-1-y08-1.59.H,5:05:22,5:05:22,14102,3,,0,0,1896.74903
2.T6.11-MRe-1-y08-1.22.R,5:13:42,5:13:42,14101,5,,0,0,11664.22333
137.T6.11-MRe-2-y08-1.78.H,5:15:38,5:15:38,14102,8,,0,0,8472.134407
137.T6.11-MRe-1-y08-1.39.H,5:18:19,5:18:19,14102,9,,0,0,9759.535884
2.T6.11-MRe-2-y08-1.72.R,5:28:10,5:28:10,14101,11,,0,0,20920.12244
138.T6.11-MRe-2-y08-1.79.H,5:30:12,5:30:12,14102,14,,0,0,16949.07721
138.T6.11-MRe-1-y08-1.38.H,5:32:42,5:32:42,14102,14,,0,0,16949.07721
139.T6.11-MRe-2-y08-1.79.H,5:36:42,5:36:42,14102,14,,0,0,16949.07721
3.T6.11-MRe-1-y08-1.46.R,5:37:41,5:37:41,14101,15,,0,0,27123.1717
139.T6.11-MRe-1-y08-1.38.H,5:40:42,5:40:42,14102,14,,0,0,16949.07721
140.T6.11-MRe-2-y08-1.79.H,5:44:42,5:44:42,14102,14,,0,0,16949.07721
3.T6.11-MRe-2-y08-1.74.R,5:45:15,5:45:15,14101,16,,0,0,32815.15589
140.T6.11-MRe-1-y08-1.38.H,5:48:42,5:48:42,14102,14,,0,0,16949.07721
4.T6.11-MRe-1-y08-1.41.R,5:49:15,5:49:15,14101,18,,0,0,35540.95418
141.T6.11-MRe-2-y08-1.79.H,5:52:42,5:52:42,14102,14,,0,0,16949.07721
4.T6.11-MRe-2-y08-1.74.R,5:53:15,5:53:15,14101,16,,0,0,32815.15589
141.T6.11-MRe-1-y08-1.38.H,5:56:42,5:56:42,14102,14,,0,0,16949.07721
5.T6.11-MRe-1-y08-1.41.R,5:57:15,5:57:15,14101,18,,0,0,35540.95418
142.T6.11-MRe-2-y08-1.79.H,6:00:42,6:00:42,14102,14,,0,0,16949.07721
5.T6.11-MRe-2-y08-1.74.R,6:01:15,6:01:15,14101,16,,0,0,32815.15589
142.T6.11-MRe-1-y08-1.38.H,6:04:42,6:04:42,14102,14,,0,0,16949.07721
6.T6.11-MRe-1-y08-1.41.R,6:05:15,6:05:15,14101,18,,0,0,35540.95418
143.T6.11-MRe-2-y08-1.79.H,6:08:42,6:08:42,14102,14,,0,0,16949.07721
6.T6.11-MRe-2-y08-1.74.R,6:09:15,6:09:15,14101,16,,0,0,32815.15589
143.T6.11-MRe-1-y08-1.38.H,6:12:42,6:12:42,14102,14,,0,0,16949.07721
144.T6.11-MRe-2-y08-1.79.H,6:16:42,6:16:42,14102,14,,0,0,16949.07721
144.T6.11-MRe-1-y08-1.38.H,6:20:42,6:20:42,14102,14,,0,0,16949.07721
145.T6.11-MRe-2-y08-1.79.H,6:24:42,6:24:42,14102,14,,0,0,16949.07721
145.T6.11-MRe-1-y08-1.38.H,6:28:42,6:28:42,14102,14,,0,0,16949.07721
