txn_type,txn_date,txn_time,start_location,end_location,line_name,start_zone,end_zone
Check out,31/10/2025,0:00:09,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:00:36,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:00:41,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:01:21,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:02:05,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:02:22,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:02:55,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:02:56,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:02:57,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:01,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:09,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:11,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:12,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:13,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:20,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:23,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:25,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:28,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:32,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:37,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:03:56,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:04:35,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:04:47,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:04:55,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:05:24,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:06:58,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:07:05,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:07:15,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:07:20,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check out,31/10/2025,0:07:22,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
Check in,31/10/2025,0:07:56,Financial Centre Metro Station,Financial Centre Metro Station,Red Metro Line,Zone 6,Zone 6
