txn_type,txn_date,txn_time,start_location,end_location,line_name,start_zone,end_zone
Check out,31/10/2025,5:04:53,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:10:43,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:10:54,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:10:58,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:11:02,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:11:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:11:17,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:12:11,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:23:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:00,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:13,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:20,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:28,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:34,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:35,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:39,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:25:45,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:26:04,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:26:53,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:30:56,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:31:17,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:23,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:24,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:34,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:42,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:44,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:45,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:49,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:50,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
Check out,31/10/2025,5:40:51,Emirates Metro Station,Emirates Metro Station,Red Metro Line,Zone 5,Zone 5
