train_arrival,trip_id,passengers_alighted,time_numeric
5:04:01,138.T6.11-MRe-2-y08-1.79.H,1,304
5:06:31,138.T6.11-MRe-1-y08-1.38.H,0,306
5:10:31,139.T6.11-MRe-2-y08-1.79.H,7,310
5:14:31,139.T6.11-MRe-1-y08-1.38.H,0,314
5:18:31,140.T6.11-MRe-2-y08-1.79.H,0,318
5:22:31,140.T6.11-MRe-1-y08-1.38.H,10,322
5:26:31,141.T6.11-MRe-2-y08-1.79.H,1,326
5:30:31,141.T6.11-MRe-1-y08-1.38.H,2,330
5:34:31,142.T6.11-MRe-2-y08-1.79.H,0,334
5:38:31,142.T6.11-MRe-1-y08-1.38.H,22,338
5:42:31,143.T6.11-MRe-2-y08-1.79.H,7,342
5:46:31,143.T6.11-MRe-1-y08-1.38.H,1,346
5:50:31,144.T6.11-MRe-2-y08-1.79.H,3,350
5:54:31,144.T6.11-MRe-1-y08-1.38.H,21,354
5:58:31,145.T6.11-MRe-2-y08-1.79.H,1,358
6:02:31,145.T6.11-MRe-1-y08-1.38.H,11,362
6:06:31,146.T6.11-MRe-2-y08-1.79.H,2,366
6:10:31,146.T6.11-MRe-1-y08-1.38.H,8,370
6:14:31,147.T6.11-MRe-2-y08-1.79.H,12,374
6:18:31,147.T6.11-MRe-1-y08-1.38.H,11,378
6:22:31,148.T6.11-MRe-2-y08-1.79.H,17,382
6:26:31,148.T6.11-MRe-1-y08-1.38.H,14,386
6:30:31,149.T6.11-MRe-2-y08-1.79.H,11,390
6:34:31,149.T6.11-MRe-1-y08-1.38.H,10,394
6:38:31,150.T6.11-MRe-2-y08-1.79.H,20,398
6:42:31,150.T6.11-MRe-1-y08-1.38.H,16,402
6:46:31,151.T6.11-MRe-2-y08-1.79.H,27,406
6:50:31,151.T6.11-MRe-1-y08-1.38.H,31,410
6:54:31,152.T6.11-MRe-2-y08-1.79.H,19,414
6:58:31,152.T6.11-MRe-1-y08-1.38.H,26,418
7:02:31,153.T6.11-MRe-2-y08-1.79.H,12,422
7:04:31,153.T6.11-MRe-1-y08-1.73.H,7,424
7:06:31,154.T6.11-MRe-1-y08-1.38.H,22,426
7:10:31,154.T6.11-MRe-2-y08-1.79.H,7,430
7:12:31,155.T6.11-MRe-1-y08-1.73.H,22,432
7:14:31,156.T6.11-MRe-1-y08-1.38.H,19,434
7:16:31,157.T6.11-MRe-1-y08-1.73.H,9,436
7:18:31,155.T6.11-MRe-2-y08-1.79.H,17,438
7:20:31,158.T6.11-MRe-1-y08-1.73.H,9,440
7:22:31,159.T6.11-MRe-1-y08-1.38.H,23,442
7:26:31,156.T6.11-MRe-2-y08-1.79.H,26,446
7:28:31,160.T6.11-MRe-1-y08-1.73.H,4,448
7:30:31,161.T6.11-MRe-1-y08-1.38.H,27,450
7:34:31,157.T6.11-MRe-2-y08-1.79.H,18,454
7:36:31,162.T6.11-MRe-1-y08-1.73.H,7,456
7:38:31,163.T6.11-MRe-1-y08-1.38.H,28,458
7:40:31,164.T6.11-MRe-1-y08-1.73.H,9,460
7:42:31,158.T6.11-MRe-2-y08-1.79.H,11,462
7:44:31,165.T6.11-MRe-1-y08-1.73.H,17,464
7:46:31,166.T6.11-MRe-1-y08-1.38.H,26,466
7:50:31,159.T6.11-MRe-2-y08-1.79.H,22,470
7:52:31,167.T6.11-MRe-1-y08-1.73.H,16,472
7:54:31,168.T6.11-MRe-1-y08-1.38.H,13,474
7:56:31,169.T6.11-MRe-1-y08-1.73.H,13,476
