cluster_id,start_time_str,end_time_str,cluster_size,duration_seconds
0,08:00:09,08:00:51,11,42.0
1,08:03:19,08:04:50,28,91.0
2,08:06:56,08:06:56,1,0.0
3,08:07:25,08:07:25,1,0.0
4,08:07:51,08:08:52,20,61.0
5,08:09:15,08:09:21,2,6.0
6,08:10:07,08:10:07,1,0.0
7,08:10:59,08:12:56,27,117.0
8,08:15:16,08:17:07,22,111.0
9,08:17:47,08:17:47,1,0.0
10,08:19:06,08:19:21,5,15.0
11,08:20:01,08:21:11,16,70.0
12,08:21:51,08:21:51,1,0.0
13,08:23:12,08:23:12,1,0.0
14,08:23:39,08:25:18,31,99.0
15,08:27:04,08:27:38,7,34.0
16,08:28:00,08:28:39,15,39.0
17,08:30:34,08:30:34,1,0.0
18,08:31:06,08:33:08,31,122.0
19,08:35:19,08:35:26,3,7.0
20,08:36:06,08:37:03,22,57.0
21,08:37:32,08:38:09,4,37.0
22,08:38:51,08:39:25,5,34.0
23,08:39:51,08:41:17,22,86.0
24,08:43:08,08:43:34,8,26.0
25,08:43:56,08:44:59,17,63.0
26,08:45:50,08:46:31,10,41.0
27,08:46:55,08:48:54,30,119.0
28,08:51:07,08:51:07,1,0.0
29,08:51:53,08:53:01,28,68.0
30,08:53:26,08:55:33,23,127.0
31,08:55:57,08:56:36,11,39.0
32,08:57:27,08:57:27,1,0.0
33,08:57:56,08:58:36,11,40.0
34,08:59:07,08:59:09,2,2.0
35,08:59:43,08:59:59,3,16.0
