trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
138.T6.11-MRe-2-y08-1.79.H,5:04:01,5:04:01,12902,2,,0,0,2913.298517
138.T6.11-MRe-1-y08-1.38.H,5:06:31,5:06:31,12902,2,,0,0,2913.298517
1.T6.11-MRe-1-y08-1.20.R,5:10:29,5:10:29,12901,6,,0,0,5577.45144
139.T6.11-MRe-2-y08-1.79.H,5:10:31,5:10:31,12902,2,,0,0,2913.298517
139.T6.11-MRe-1-y08-1.38.H,5:14:31,5:14:31,12902,2,,0,0,2913.298517
140.T6.11-MRe-2-y08-1.79.H,5:18:31,5:18:31,12902,2,,0,0,2913.298517
140.T6.11-MRe-1-y08-1.38.H,5:22:31,5:22:31,12902,2,,0,0,2913.298517
1.T6.11-MRe-2-y08-1.21.R,5:24:47,5:24:47,12901,12,,0,0,13239.3488
141.T6.11-MRe-2-y08-1.79.H,5:26:31,5:26:31,12902,2,,0,0,2913.298517
141.T6.11-MRe-1-y08-1.38.H,5:30:31,5:30:31,12902,2,,0,0,2913.298517
142.T6.11-MRe-2-y08-1.79.H,5:34:31,5:34:31,12902,2,,0,0,2913.298517
142.T6.11-MRe-1-y08-1.38.H,5:38:31,5:38:31,12902,2,,0,0,2913.298517
2.T6.11-MRe-1-y08-1.22.R,5:40:13,5:40:13,12901,17,,0,0,25722.42131
143.T6.11-MRe-2-y08-1.79.H,5:42:31,5:42:31,12902,2,,0,0,2913.298517
143.T6.11-MRe-1-y08-1.38.H,5:46:31,5:46:31,12902,2,,0,0,2913.298517
144.T6.11-MRe-2-y08-1.79.H,5:50:31,5:50:31,12902,2,,0,0,2913.298517
144.T6.11-MRe-1-y08-1.38.H,5:54:31,5:54:31,12902,2,,0,0,2913.298517
2.T6.11-MRe-2-y08-1.72.R,5:54:41,5:54:41,12901,23,,0,0,34978.32042
145.T6.11-MRe-2-y08-1.79.H,5:58:31,5:58:31,12902,2,,0,0,2913.298517
145.T6.11-MRe-1-y08-1.38.H,6:02:31,6:02:31,12902,2,,0,0,2913.298517
3.T6.11-MRe-1-y08-1.46.R,6:04:12,6:04:12,12901,27,,0,0,41181.36969
146.T6.11-MRe-2-y08-1.79.H,6:06:31,6:06:31,12902,2,,0,0,2913.298517
146.T6.11-MRe-1-y08-1.38.H,6:10:31,6:10:31,12902,2,,0,0,2913.298517
3.T6.11-MRe-2-y08-1.74.R,6:11:46,6:11:46,12901,28,,0,0,46873.35388
147.T6.11-MRe-2-y08-1.79.H,6:14:31,6:14:31,12902,2,,0,0,2913.298517
4.T6.11-MRe-1-y08-1.41.R,6:15:46,6:15:46,12901,30,,0,0,49599.15217
147.T6.11-MRe-1-y08-1.38.H,6:18:31,6:18:31,12902,2,,0,0,2913.298517
4.T6.11-MRe-2-y08-1.74.R,6:19:46,6:19:46,12901,28,,0,0,46873.35388
148.T6.11-MRe-2-y08-1.79.H,6:22:31,6:22:31,12902,2,,0,0,2913.298517
5.T6.11-MRe-1-y08-1.41.R,6:23:46,6:23:46,12901,30,,0,0,49599.15217
148.T6.11-MRe-1-y08-1.38.H,6:26:31,6:26:31,12902,2,,0,0,2913.298517
5.T6.11-MRe-2-y08-1.74.R,6:27:46,6:27:46,12901,28,,0,0,46873.35388
149.T6.11-MRe-2-y08-1.79.H,6:30:31,6:30:31,12902,2,,0,0,2913.298517
6.T6.11-MRe-1-y08-1.41.R,6:31:46,6:31:46,12901,30,,0,0,49599.15217
149.T6.11-MRe-1-y08-1.38.H,6:34:31,6:34:31,12902,2,,0,0,2913.298517
6.T6.11-MRe-2-y08-1.74.R,6:35:46,6:35:46,12901,28,,0,0,46873.35388
150.T6.11-MRe-2-y08-1.79.H,6:38:31,6:38:31,12902,2,,0,0,2913.298517
150.T6.11-MRe-1-y08-1.38.H,6:42:31,6:42:31,12902,2,,0,0,2913.298517
151.T6.11-MRe-2-y08-1.79.H,6:46:31,6:46:31,12902,2,,0,0,2913.298517
151.T6.11-MRe-1-y08-1.38.H,6:50:31,6:50:31,12902,2,,0,0,2913.298517
152.T6.11-MRe-2-y08-1.79.H,6:54:31,6:54:31,12902,2,,0,0,2913.298517
152.T6.11-MRe-1-y08-1.38.H,6:58:31,6:58:31,12902,2,,0,0,2913.298517
153.T6.11-MRe-2-y08-1.79.H,7:02:31,7:02:31,12902,2,,0,0,2913.298517
10.T6.11-MRe-1-y08-1.41.R,7:03:46,7:03:46,12901,30,,0,0,49599.15217
153.T6.11-MRe-1-y08-1.73.H,7:04:31,7:04:31,12902,2,,0,0,2913.298517
154.T6.11-MRe-1-y08-1.38.H,7:06:31,7:06:31,12902,2,,0,0,2913.298517
10.T6.11-MRe-2-y08-1.74.R,7:07:46,7:07:46,12901,28,,0,0,46873.35388
154.T6.11-MRe-2-y08-1.79.H,7:10:31,7:10:31,12902,2,,0,0,2913.298517
11.T6.11-MRe-1-y08-1.41.R,7:11:46,7:11:46,12901,30,,0,0,49599.15217
155.T6.11-MRe-1-y08-1.73.H,7:12:31,7:12:31,12902,2,,0,0,2913.298517
156.T6.11-MRe-1-y08-1.38.H,7:14:31,7:14:31,12902,2,,0,0,2913.298517
11.T6.11-MRe-2-y08-1.74.R,7:15:46,7:15:46,12901,28,,0,0,46873.35388
157.T6.11-MRe-1-y08-1.73.H,7:16:31,7:16:31,12902,2,,0,0,2913.298517
155.T6.11-MRe-2-y08-1.79.H,7:18:31,7:18:31,12902,2,,0,0,2913.298517
12.T6.11-MRe-1-y08-1.41.R,7:19:46,7:19:46,12901,30,,0,0,49599.15217
158.T6.11-MRe-1-y08-1.73.H,7:20:31,7:20:31,12902,2,,0,0,2913.298517
159.T6.11-MRe-1-y08-1.38.H,7:22:31,7:22:31,12902,2,,0,0,2913.298517
12.T6.11-MRe-2-y08-1.74.R,7:23:46,7:23:46,12901,28,,0,0,46873.35388
156.T6.11-MRe-2-y08-1.79.H,7:26:31,7:26:31,12902,2,,0,0,2913.298517
13.T6.11-MRe-1-y08-1.41.R,7:27:46,7:27:46,12901,30,,0,0,49599.15217
160.T6.11-MRe-1-y08-1.73.H,7:28:31,7:28:31,12902,2,,0,0,2913.298517
161.T6.11-MRe-1-y08-1.38.H,7:30:31,7:30:31,12902,2,,0,0,2913.298517
13.T6.11-MRe-2-y08-1.74.R,7:31:46,7:31:46,12901,28,,0,0,46873.35388
